Cell Line Name,Drug Name,Tissue Sub-type,IC50,AUC,LPHN2_mut,MAP2K4_mut,MAP4K3_mut,MGA_mut,MLH1_mut,MLL3_mut,NCOR1_mut,NF1_mut,NFE2L2_mut,NRAS_mut,NTRK2_mut,PBRM1_mut,PIK3R1_mut,POLR2B_mut,PTEN_mut,RASA1_mut,RB1_mut,RBM10_mut,RTN4_mut,SETD2_mut,SMARCA4_mut,SOX9_mut,STIP1_mut,STK11_mut,SVEP1_mut,TCF12_mut,TP53_mut,TP53BP1_mut,U2AF1_mut,ARID1A_mut,ASXL2_mut,B2M_mut,BRAF_mut,CDKN2A_mut,CLASP2_mut,CLSPN_mut,CTNNB1_mut,CUL2_mut,CUL3_mut,DDX3X_mut,DNMT3A_mut,EGFR_mut,FAT1_mut,FBXW7_mut,FGFR2_mut,FN1_mut,FXR1_mut,HLA.A_mut,IDH1_mut,KDM6A_mut,KDR_mut,KEAP1_mut,KRAS_mut,cnaLUAD25,cnaLUAD26,cnaLUAD27,cnaLUAD28,cnaLUAD29,cnaLUAD30,cnaLUAD31,cnaLUAD32,cnaLUAD33,cnaLUAD34,cnaLUAD35,cnaLUAD1,cnaLUAD2,cnaLUAD3,cnaLUAD4,cnaLUAD5,cnaLUAD6,cnaLUAD7,cnaLUAD8,cnaLUAD9,cnaLUAD10,cnaLUAD11,cnaLUAD12,cnaLUAD13,cnaLUAD14,cnaLUAD15,cnaLUAD16,cnaLUAD17,cnaLUAD18,cnaLUAD19,cnaLUAD20,cnaLUAD21,cnaLUAD22,cnaLUAD23,cnaLUAD24
NCI-H1650,Camptothecin,lung_NSCLC_adenocarcinoma,0.13755407108119722,0.9360337796003453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Vinblastine,lung_NSCLC_adenocarcinoma,1.7399590332049306,0.9707369160551836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Cisplatin,lung_NSCLC_adenocarcinoma,7.0619114048837215,0.9851368623840591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Cytarabine,lung_NSCLC_adenocarcinoma,5.076661110326151,0.9753627600987071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Docetaxel,lung_NSCLC_adenocarcinoma,-1.9912990123379335,0.9345319164050272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Methotrexate,lung_NSCLC_adenocarcinoma,-0.8947444251642848,0.7496969611186115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Gefitinib,lung_NSCLC_adenocarcinoma,2.7983323895954584,0.9252355053888413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Navitoclax,lung_NSCLC_adenocarcinoma,2.1031775074335264,0.837468326759318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Vorinostat,lung_NSCLC_adenocarcinoma,3.904034727539509,0.9060732156922896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NCI-H1650,Nilotinib,lung_NSCLC_adenocarcinoma,5.845520358973564,0.9833668299600572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
