Cell Line Name,COSMIC ID,GDSC Desc1,GDSC Desc2,TCGA Desc,Genetic Feature,IS Mutated,Recurrent Gain Loss,Genes in Segment
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","LPHN2_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","MAP2K4_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","MAP4K3_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","MGA_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","MLH1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","MLL3_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","NCOR1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","NF1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","NFE2L2_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","NRAS_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","NTRK2_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","PBRM1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","PIK3R1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","POLR2B_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","PTEN_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","RASA1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","RB1_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","RBM10_mut","0","",""
"NCI-H1650","687800","lung","lung_NSCLC_adenocarcinoma","LUAD","RTN4_mut","0","",""
